Article	Table type	Table Image	"paragraphs just before the table (with title, if any)"	Table_Caption	Keywords_Phrases	Table_Footnote_KEY_Abbreviations	Measurements	Measurement Unit	Method	Plant Material	Targets	"Non-Plant Control Substances, Solvents, Media, Substrate"	Notes	Table Type	Col1	Col2	Col3	Col4	Col5	Col6
PMC5849899	antiBacterial_MIC		"3.3. Inhibitory potential of EOs in Iranian white cheese as a food model
Results related to the inhibition effects of thyme and clove EOs in Iranian white cheese are presented in Table 4. By the end of the 40th day of storage, thyme EO showed the inhibitory potential of 86.81% at 200 ppm concentration against A. flavus growth and the highest inhibitory effect of thyme EO was recorded at 600 ppm, which was equal to 91.3% of inhibition. Moreover, because of high mold inhibitory potential of clove EO, which was evidenced in previous experiments, the essence showed 85.3%, 95%, and 100% of inhibition against A. flavus at concentrations of 50, 100, and 150 ppm, respectively. Similar to the results of the PDA and PDB medium, in Iranian white cheese the inhibitory effect of the EOs against A. flavus growth was higher than their inhibitory effect against aflatoxin B1 production. In the case of clove EO, 50 and 100 ppm of the essence could eradicate the aflatoxin B1 after 20 and 10 days of storage, respectively, and by introducing 150 ppm of the clove EO no aflatoxin were found during any time of storage."	Effect of clove EO and thyme EO on Aspergillus flavus growth and aflatoxin B1 production by Aspergillus flavus in Iranian white cheese	Effect of [PLANT(S)] [EXTRACT(S)] on [TARGET] and [TARGET BYPRODUCT] and [CONTROL SUBSTANCE] by [TARGET] in [SUBSTRATE]	"In each column different superscript letters indicate significant differences (p < .05).
EO, essential oil."	"Time (day)  EO concentration (ppm)
 A. flavus growth (cfu/ml × 104)
 aflatoxin B1 production Aflatoxin B1 concentration (ppm)"			[PLANT NAME] EO	Aspergillus flavus growth and aflatoxin B1 production	Iranian white cheese	"Article includes this Calculation:  Inhibition percentage(%)=
((R0−R1)/R0))×100
where R0: radius of fungal hyphae growth in the positive control sample, R1: radius of fungal hyphae growth in the test sample."		Time (day)	EO concentration (ppm)	A. flavus growth (cfu/ml × 104)	Aflatoxin B1 concentration (ppm)		
PMC5849928			"3.2. Minimum inhibitory concentration of essential oil
One of the criteria used by most researchers to measure the antibacterial activity of antimicrobial agents is to determine the minimum inhibitory concentration and the minimum concentration of fecundity. Due to the fact that each antimicrobial agent has different effects on microorganisms, this study investigated the AEO on gram‐negative microorganisms such as S. typhimurium and E. coli and gram‐positive bacteria like S. aureus using microdilution method. According to the results (Table 2), the highest MIC values were observed in Salmonella typhimurium and the lowest values were found in S. aureus (p < .05). Several reports have shown that gram‐positive bacteria are more susceptible to antibacterial compounds than gram‐negative bacteria. The resistance of gram‐negative bacteria against antibacterial agents with the hydrophilic surface of the outer membrane of bacteria that is rich in lipopolysaccharide molecules and creates a buffer against the penetration of different antibiotic molecules, as well as with perivascular enzymes that can break the molecules imported from outside are also in contact. Gram‐positive bacteria do not have such an external membrane in the cell wall structure. Some antibiotics can easily destroy the walls of the bacterial cell and the cytoplasmic membrane and lead to the release of its cytoplasm (Shan, Cai, Brooks, & Corke, 2007) Table 2."	Minimum inhibitory concentration of anise essential oil (AEO)	[MEASUREMENT(S)] of [PLANT(S)] [EXTRACT(S)] [PLANT/EXTRACT ABBREVIATION(S)]	"Significant differences in a same column are shown by different letters (p < .05).
Values are means ± SD (n = 3). MIC, minimum growth inhibitor concentration."	MIC (ppm)	"ppm
"							"Treatment
[oil used]"	MIC (ppm)				
PMC5871051	Antimicrobial		"Results
In the present study, using cultural techniques, 2 of 106 samples (1.88%) were positive for Listeria strains. No Listeria was isolated from fresh fish samples. In contrast, 2 shrimp (5%) samples were contaminated with L monocytogenes (2.5%) and L grayi (2.5%). The resistance pattern of Listeria spp isolates to 16 antibiotics tested in this study is shown in Table 1. The 2 isolates (100%) were multidrug resistant. In addition, 2 isolates were susceptible to trimethoprim/sulfamethoxazole and ciprofloxacin. The L monocytogenes was more sensitive to antibiotics than L grayi."	"Antimicrobial Resistance of Listeria spp Isolated From Seafood in Kashan, Iran."	[ACTIVITY(S)] Resistance of [TARGET(S)] Isolated From [SUBSTRATE(S)] in [COLLECTION LOCATION].	"Abbreviations: R, resistant; I, intermediate; S, susceptible.
"									Antimicrobials	Listeria monocytogenes	Listeria grayi			
PMC5871051	Bacteriacidal		"The results related to the MIC and MBC of the essential oils and extracts by microdilution method are given in Table 3. The essential oil of E globulus showed consistently strong antimicrobial activity against L monocytogenes and L grayi, while rose water showed no antimicrobial activity against any of the tested bacterial strains. The essential oils generally exhibited a higher antimicrobial spectrum than extracts. Interestingly, L monocytogenes was more sensitive to essential oils and extracts than L grayi."	"Minimum Inhibitory Concentration (MIC) and Minimum Bactericidal Concentration (MBC) of the Bunium persicum, Eucalyptus globulus, and Rose Water Against Listeria spp Isolated From Seafood."	[MEASUREMENT(S)]  and [MEASUREMENT(S)]  of the [PLANT(S)] Isolated From [SUBSTRATE]. 	"Abbreviations: E, ethanolic extract; EO, essential oil; NE, no effect."	"MIC (mg/mL)
MBC (mg/mL)
"	 (mg/mL)							Name of Medicinal Plants	Listeria monocytogenes	Listeria grayi			
PMC5871051			"Table 4 shows the results when Listeria strains were treated with MIC concentration of essential oils and extracts for 4 hours, respectively. The results showed that after adding the B persicum and E globulus essential oils to bacteria, the cell components’ release increased significantly. Compared with control and the cell components in suspensions treated with MIC concentration of B persicum and E globulus essential oils for L monocytogenes increased by 2.52 and 2.86 times, respectively and they increased by 1.52 and 1.67 times, respectively, for L grayi."	"Effects of Bunium persicum, Eucalyptus globulus, and Rose Water in MIC Concentrations on Cell Constituents’ Release of Listeria spp Isolated From Seafood.*"	Effects of [PLANT(S)] [EXTRACT(S)] in MIC Concentrations on [TARGET-RELEASED BIPRODUCTS] of [TARGET SPECIES] Isolated From [SUBSTRATE].	"E, ethanolic extract; EO: essential oil; ND, not detected; OD260 nm, optical density at 260 nm.
*Different superscript letters a, b, c, and d in the column indicate significant differences (P = .00)."	"OD260 nm, optical density at 260 nm"	nm			[TARGET-RELEASED BIPRODUCTS] of [TARGET SPECIES] Isolated From [SUBSTRATE].				Medicinal Plants	EOs				
PMC5871051	antiBacterial_MIC		"Table 4 shows the results when Listeria strains were treated with MIC concentration of essential oils and extracts for 4 hours, respectively. The results showed that after adding the B persicum and E globulus essential oils to bacteria, the cell components’ release increased significantly. Compared with control and the cell components in suspensions treated with MIC concentration of B persicum and E globulus essential oils for L monocytogenes increased by 2.52 and 2.86 times, respectively and they increased by 1.52 and 1.67 times, respectively, for L grayi."	"Effects of Bunium persicum, Eucalyptus globulus, and Rose Water in MIC Concentrations on Cell Constituents’ Release of Listeria spp Isolated From Seafood.*"	Effect of [PLANT(S)] [EXTRACT(S)] in [MEASUREMENT] ON[TARGET BYPRODUCT] release of [TARGET ORGANISM] isolated from [SUBSTRATE]	"E, ethanolic extract;   EO: essential oil;   ND, not detected;   OD260 nm, optical density at 260 nm.
*Different superscript letters a, b, c, and d in the column indicate significant differences (P = .00)."									Medicinal Plants	Bunium persicum EO	Eucalyptus globulus EO	Rose water	Bunium persicum E	Eucalyptus globulus E
PMC5871294			"The antibacterial activities of Salvia mirzayanii essential oil are shown in Table 2. Essential oils inhibited the growth of all gram-positive bacteria at the concentrations of 0.03 to 0.5 µL/mL. The essential oils exhibited antibactericidal activity (MBC) against all the above-mentioned gram-positive bacteria at concentrations ranging from 0.062 to 32 µL/mL. The MBC of Streptococcus pyogenes ATCC 8668 was only in concentrations >0.031 µL/mL.
"	Antibacterial Activity (MIC and MBC) of Essential Oil Distilled From Salvia mirzayanii.	[ACTIVITY(S)] Activity [MEASUREMENT(S)] of [EXTRACT(S)] [EXTRACTION METHOD(S)] From [PLANT(S)]	"Abbreviations: GM, geometric mean; MIC, minimum inhibitory concentration; MBC, minimum bactericidal concentration"	"GM, geometric mean

MIC, minimum inhibitory concentration

MBC, minimum bactericidal concentration"	"µL/mL
(Range)"							Bacteria (Number of Strains)	"MIC95, GM µL/mL (Range)"	"MBC, GM µL/mL (Range)
"			
PMC5871294			"The antifungal activities of Salvia mirzayanii essential oil against fungi are exhibited in Table 3. For the clinical and standard tested yeasts MIC50 and MIC95 for the Salvia mirzayani essential oil were in the range of 0.03 to 1 and 0.06 to 2 μL/mL, respectively, with Candida glabrata and Candida dubliniensis demonstrating the lowest MIC50 and MIC95 values."	Antifungal Activity (MIC and MFC) of Essential Oil From Salvia mirzayanii.	[ACTIVITY(S)] Activity [MEASUREMENT(S)] of [EXTRACT(S)] From [PLANT(S)]	"Abbreviations: MIC, minimum inhibitory concentration; MFC, minimum fungicidal concentration."	"MIC50 (µL/mL)
MIC95 (µL/mL)
MIC95 (µL/mL)"	µL/mL				"Fluconazol
Itraconazol"			Code	Species	MIC50 (µL/mL)	MIC95 (µL/mL)	"MFC (µL/mL)
"	
PMC5871294			"According to Table 4, Salvia mirzayani essential oil at concentrations of 0.03 to 1 μL/mL inhibited the growth of about half of the azole-sensitive Candida; in addition, MIC50 value for the essential oil antifungal activity against azole-resistant Candida was 0.12 to 1 μL/mL.
"	Antifungal Activity of Essential Oil of Salvia mirzayanii against Azole-Sensitive and Azole-Resistant Candida.	[ACTIVITY(S)] Activity of [EXTRACT(S)] of [PLANT(S)] against Azole-Sensitive and Azole-Resistant [TARGET(S)].	"Abbreviations: GM, geometric mean; MIC, minimum inhibitory concentration; MFC, minimum fungicidal concentration."									Species (Number)	"MIC50, GM µL/mL (Range)"	"MIC95, GM µL/mL (Range)"	"MFC, GM µL/mL (Range)"		
PMC5921405		Image instead of a table																		
PMC5933022			"3.3. Antimicrobial Test
The antimicrobial assay of the oleogels with essential oil of thyme was performed against Candida albicans. The minimum inhibitory concentration was determined after incubating the oleogels with different concentrations of thymol in Petri dishes. The results are listed in Table 3. The results suggest that the oleogel may be tried as matrices for drug delivery or can be alternative preparation for the chemical drugs."	Determination of minimum inhibitory concentration (MIC) of the oleogels containing different concentrations of thyme essential oil.	Determination of [MEASUREMENT(S)] of the oleogels containing different concentrations of [PLANT(S)] [EXTRACT(S)]		MIC	%					CHECK THE UNITS		"Essential oil of thyme concentration in oleogels, %"	Effectiveness against Candida albicans				
PMC5958151	antiBacterial_MIC		"Susceptibility of Prototheca zopfii Isolates to Tested Essential Oils
All tested strains were sensitive to thyme, marjoram and oregano oils and insensible to peppermint and bear garlic oils. The marjoram oil was the most effective inhibitor of the tested strains of P. zopfii, with MIC values ranging from 0.25 to 0.5 μl/ml, while the least effective was oregano, with MIC values of 0.5 to 1 μl/ml. For thyme oil, the MIC values ranged from 0.25 to 1 μl/ml (Table 3).

"	Minimal inhibitory concentration (MIC) (μl/ml) of tested essential oils	[MEASUREMENT(S)]  [UNIT(S)] of tested [EXTRACT(S)] [MEASUREMENT(S)]  [UNIT] of tested [EXTRACT(S)]	"R, resistant"	MIC	(μl/ml)			"Same species, different Strains"				No.	Species	Strain number	Clinical material	"Minimal inhibitory concentration MIC (μl/ml) of tested essential oils (Thyme
Oregano
Marjoram
Wild garlic
Mint)"	
PMC5960548			"3.3. Antibacterial Activity
E. coli, S. aureus, P. aeruginosa, P. italicum Wehmer, and P. digitatum Sacc. are different types of microorganisms. E. coli, S. aureus, and P. aeruginosa are pathogenic bacteria [24], whereas P. italicum Wehmer and P. digitatum Sacc. are fungi [25]. Because these organisms infect, damage, and destroy material used in manufacturing goods or infect the goods produced; these microorganisms increase economic costs in various industries, including medicinal, cosmetic, agriculture, and food industries. Thus, the antibacterial activity of the essential oil from M. alternifolia was investigated with three different methods: the antimicrobial screening method and the MIC and MBC assays. The results presented in Table 3 clearly show that the essential oil of M. alternifolia displayed significant antimicrobial activity against all microorganisms tested. The Gram-positive bacteria were more sensitive to the essential oil than Gram-negative bacteria and fungi. E. coli had the lowest MIC (2 mg/ml). These data are consistent with previous observations that Melaleuca alternifolia essential oil possesses antibacterial and antifungal activity [11]. According to Cox et al. (2000), the antimicrobial activity of the M. alternifolia terpenes is associated with their strong hydrophobicity. Here, the hydrophobic terpenes interact strongly with the membrane lipids of the pathogenic microorganisms, which affect the permeability of the membrane [10]. Among the main consequences of membrane permeability are (i) modification of the proton-motive force, leading to a deficit in the production of cellular energy caused by the decrease in ATP generation, and (ii) cellular lyses due to leakage or coagulation of the cytoplasm [26, 27]. The compound terpinene-4-ol, also identified amongst the main constituents of the Iranian Cymbopogon Olivieri essential oil, has been implicated in the antimicrobial activity against Gram-positive bacteria, Gram-negative bacteria, and the yeast Candida albicans [28]."	Antimicrobial activity of the essential oil of Melaleuca alternifolia.	[ACTIVITY(S)] of [EXTRACT(S)] of [PLANT(S)] against	"DD, diameter of zone of inhibition (mm) including disc diameter of 6 mm."	"DD (mm)
MIC (mg/mL)
MBC (mg/mL)"								Microorganisms	"DD (mm)
"	"MIC (mg/mL)
"	MBC (mg/mL)		
PMC6011056			"3.2. Antimicrobial Activity of C. zeylanicum and C. cassia Bark Essential Oils and (E)-Cinnamaldehyde on Bacteria
Essential oils and (E)-cinnamaldehyde inhibited the growth of all bacteria assayed in this study in planktonic form, the antimicrobial activity data for which are shown in Table 2.
"	"Minimum inhibitory concentration (MIC) and minimum bactericidal concentration (MBC) values of essential oils from C. zeylanicum and C. cassia stems, (E)-cinnamaldehyde and oxacillin (mg/ml) on bacteria."	"[MEASUREMENT(S)] values of [EXTRACT(S)] from [PLANT(S)] [PART(S)], [CONTROL(S)] [UNIT(S)] on [TARGET(S)]."		"MIC
MBC"	mg/ml			bacteria	"(E)-cinnamaldehyde
Oxacillin"			Microorganisms	MIC	MBC			
PMC6011056			"3.3. Antibiofilm Activity of the Essential Oils from the Trunk Bark of C. zeylanicum and C. cassia and Cinnamaldehyde

3.3.1. Quantification of Biofilm Biomass and Cell Viability in Biofilms
The biofilm biomass quantification data are shown in Table 3.
"	"Minimum concentration of essencial oil from C. cassia (EOCc) and C. zeylanicum (EOCz) stems, (E)-cinnamaldehyde and oxacillin (mg/ml) reduce biofilm biomass by 100% in comparison to normal biofilm growth.
"	"Minimum concentration of [EXTRACT(S)] from  [PLANT(S)] [PART(S)], [CONTROL(S)] [UNIT(S)] reduce [TARGET(S)] by 100% in comparison to normal [TARGET(S)] growth.
"		MIC					"(E)-cinnamaldehyde
Oxacillin"			Microorganisms	Substances				
PMC6015887			"Effect of CEO on C. acutatum in Vitro
We evaluated the antifungal activity of CEO in vitro against C. acutatum. The antifungal activity was mainly determined by inhibition of mycelial growth and spore germination of C. acutatum. The mycelial growth of C. acutatum was sensitive to CEO (Figure 
Figure2A
2A). The mycelial growth of C. acutatum (CEO-treated group) was reduced during incubation compared with the untreated group, with the greater inhibitory at the higher concentration (p < 0.05). The mycelial growth of C. acutatum was completely inhibited by CEO at the concentration of 0.2 μL/mL. The efficacies of CEO on the spore germination of C. acutatum were shown in Figure 
Figure2B
2B. The different concentrations of CEO had a significant inhibitory effect on spore germination (Figure 
Figure2B
2B, p < 0.05). Observations showed an inhibition on the spore germination of C. acutatum within the range of 0.075–0.150 μL/mL. Results indicated that the spore germination was reduced with the increasing CEO concentrations. CEO could completely inhibit the spore germination at the concentration of 0.175 μL/mL. In summary, the CEO completely prevented the mycelial growth and spore germination of C. acutatum at concentrations of 0.2 μL/mL and 0.175 μL/mL, respectively. Further, the MIC and MFC values of CEO against C. acutatum were presented in Table 
Table2
2. The MIC of CEO was 0.200 μL/mL. The MFC of CEO was found to be equal to the corresponding MIC results. CEO showed the good fungistatic and fungicidal activity against C. acutatum.

"	"MIC and MFC of CEO against C. acutatum.
"	[MEASUREMENT(S)] of [PLANT(S)] [EXTRACT(S)] against [TARGET(S)]	"owth of C. acutatum in the presence of CEO. Medium used: PDA. Inoculating in dark at 25°C. Growth: ++++, very good; +++, good; ++, fair; +, little; -, no growth. Values are mean (n = 3)."									"Concentration of CEO (μL/mL)
"	MIC	MFC			
