PMCID	activity	activity_method	activity_result	table_no	table_title	notes
PMC5625792	bactericidal
PMC5838999	bactericidal
PMC6011056	bactericidal
PMC5535876	bactericidal
PMC5849928	bactericidal
PMC5960548	bactericidal
PMC5527698	bactericidal
PMC5485486	bactericidal
PMC5871051	bactericidal
PMC5248495	bactericidal
PMC5905578	bactericidal
PMC5653886	bactericidal
PMC5858069	bactericidal
PMC5602841	bactericidal
PMC5876267	bactericidal
PMC5568258	bactericidal
PMC5132230	bactericidal
PMC5937097	bactericidal
PMC5412227	bactericidal
PMC5788217	bactericidal
PMC5486035	bactericidal
PMC5423258	bactericidal
PMC5613177	bactericidal
PMC5933692	bactericide
PMC5364420	bactericide
PMC5806308	bactericide
PMC5546729	bactericide
PMC5838999	virucidal
PMC5937097	virucidal
PMC5669080	virucidal
PMC5957362	virucidal
PMC5813356	hepatoprotective
PMC5282690	hepatoprotective
PMC5933010	hepatoprotective
PMC5958191	hepatoprotective
PMC5830750	hepatoprotective
PMC5393100	hepatoprotective
PMC5661929	hepatoprotective
PMC5964621	hepatoprotective
PMC5535876	hepatoprotective
PMC5674267	hepatoprotective
PMC5750605	hepatoprotective
PMC5937106	hepatoprotective
PMC5615285	hepatoprotective
PMC5761127	hepatoprotective
PMC5669080	hepatoprotective
PMC5822514	hepatoprotective
PMC5761127	hepatoprotection
PMC5535876	hepatotoxic
PMC5997812	hepatotoxic
PMC5964621	hepatotoxic
PMC5958191	hepatotoxic
PMC5393100	hepatotoxic
PMC5933010	hepatotoxic
PMC5761127	hepatotoxic
PMC5867545	herbicide
PMC5874608	herbicide
PMC5878871	histaminic
PMC5964621	histaminic
PMC5884000	histaminic
PMC5964621	hypnotic
PMC6011244	hypocholesterolemic
PMC5694875	hypocholesterolemic
PMC5896384	hypocholesterolemic
PMC5905578	hypoglycemic
PMC5937106	hypoglycemic
PMC5393100	hypoglycemic
PMC5575638	hypoglycemic
PMC5958191	hypoglycemic
PMC5641611	hypoglycemic
PMC5423258	hypoglycemic
PMC5842484	hypoglycemic
PMC5615139	hypothermic
PMC5794096	immunomodulator
PMC5661929	immunomodulator
PMC5933010	immunomodulator
PMC5884000	immunomodulator
PMC5964621	immunomodulator
PMC5830750	immunomodulator
PMC5878871	immunomodulator
PMC5745743	immunomodulator
PMC5674267	immunomodulation
PMC5997812	immunotoxic
PMC5585972	insecticide
PMC5872290	insecticide
PMC5602041	insecticide
PMC5702407	insecticide
PMC5427463	insecticide
PMC5997812	insecticide
PMC5963643	insecticide
PMC5905380	insecticide
PMC5795983	insecticide
PMC5797122	insecticide
PMC5964621	insecticide
PMC5651092	insecticide
PMC5970210	insecticide
PMC5622403	insecticide
PMC5397855	insecticide
PMC5952513	insecticide
PMC5237462	insecticide
PMC5933692	insecticide
PMC5641611	insecticide
PMC5940754	insecticide
PMC5858457	insecticide
PMC5778779	insecticidal
PMC5750605	insecticidal
PMC5813356	insecticidal
PMC5575638	insecticidal
PMC5590067	insecticidal
PMC5585972	insecticidal
PMC5905184	insecticidal
PMC5858457	insecticidal
PMC5750654	insecticidal
PMC5622403	insecticidal
PMC5905578	insecticidal
PMC5940754	insecticidal
PMC5717781	insecticidal
PMC5080681	insecticidal
PMC5535876	insecticidal
PMC5282690	insecticidal
PMC5838999	insecticidal
PMC5964621	insecticidal
PMC5397855	insecticidal
PMC5702407	insecticidal
PMC5876267	insecticidal
PMC5641611	insecticidal
PMC5324201	insecticidal
PMC5651092	insecticidal
PMC5620597	insecticidal
PMC5615285	insecticidal
PMC5344628	insecticidal
PMC5486035	insecticidal
PMC6011056	insecticidal
PMC5527698	insecticidal
PMC5952513	insecticidal
PMC5427463	insecticidal
PMC5364420	insecticidal
PMC5933692	insecticidal
PMC5872290	insecticidal
PMC5997812	irritant
PMC5797122	irritant
PMC5878871	irritant
PMC5884000	irritant
PMC5905380	larvicide
PMC5641611	larvicide
PMC5237462	larvicide
PMC5872290	larvicide
PMC5952513	larvicide
PMC5585972	larvicidal
PMC5952513	larvicidal
PMC5885327	larvicidal
PMC5590067	larvicidal
PMC5964621	larvicidal
PMC5858457	larvicidal
PMC5237462	larvicidal
PMC5750605	larvicidal
PMC5954905	larvicidal
PMC5876267	larvicidal
PMC5641611	larvicidal
PMC5940754	larvicidal
PMC5905380	larvicidal
PMC5872290	larvicidal
PMC5622401	laxative
PMC5551175	laxative
PMC5590065	laxative
PMC5813356	laxative
PMC5876267	laxative
PMC5946457	lipolytic
PMC5849928	lipolytic
PMC5964621	memory enhancing
PMC5964621	Molluscicidal
PMC5933692	Molluscicidal
PMC5761127	nephrotoxicity
PMC5535876	nephrotoxicity
PMC5997812	nephrotoxic
PMC5905578	neuroprotective
PMC5364420	neuroprotective
PMC5789316	neuroprotective
PMC5964621	neuroprotective
PMC5569441	neuroprotective
PMC5958191	neuroprotective
PMC5535876	neuroprotective
PMC5745743	neuroprotective
PMC5745743	neuroprotection
PMC5958191	neuroprotection
PMC5661929	neurotoxic
PMC5745743	neurotoxic
PMC5622382	neurotoxic
PMC5872290	neurotoxic
PMC5997812	neurotoxic
PMC5397855	neurotoxic
PMC5615139	neurotoxic
PMC5778779	perfumery
PMC5963643	perfumery
PMC5674267	perfumery
PMC5694587	perfumery
PMC5427463	perfumery
PMC5788217	perfumery
PMC5237462	perfumery
PMC5978029	perfumery
PMC5551175	perfumery
PMC5897738	peristaltic
PMC5585972	pesticide
PMC5905578	pesticide
PMC5960541	pesticide
PMC5622397	pesticide
PMC5855832	pesticide
PMC5427463	pesticide
PMC5694497	pesticide
PMC5858457	pesticide
PMC5789270	pesticide
PMC5674267	pesticide
PMC5397855	pesticide
PMC5602041	pesticide
PMC5772139	pesticide
PMC5905380	pesticide
PMC5641611	pesticide
PMC5132230	pesticide
PMC5872290	pesticide
PMC5485486	pesticide
PMC5867545	photoprotection
PMC5896384	proliferative
PMC5938542	proliferative
PMC5590060	proliferative
PMC5963643	proliferative
PMC5668225	proliferative
PMC5750605	proliferative
PMC5535876	proliferative
PMC5806308	proliferative
PMC5954905	prooxidant
PMC5933010	prooxidant
PMC5590062	prooxidant
PMC5750605	pro-oxidant
PMC5822514	pro-oxidant
PMC5933692	pro-oxidant
PMC5761127	rubefacient
PMC5486035	rubefacient
PMC5485486	sedative
PMC5694587	sedative
PMC5937097	sedative
PMC5838999	sedative
PMC5905578	sedative
PMC5615139	sedative
PMC5622398	sedative
PMC5933692	sedative
PMC6011056	sedative
PMC5964621	sedative
PMC5702920	sedative
PMC5879832	sedative
PMC5750654	sedative
PMC5694611	sedative
PMC5954905	sedative
PMC5897738	sedative
PMC5524814	sedative
PMC5569441	sedative
PMC5723952	sedative
PMC5859817	skin healing
PMC5905578	wound healing
PMC5933010	wound healing
PMC5958191	wound healing
PMC5747963	wound healing
PMC5945564	wound healing
PMC5921405	wound healing
PMC5794096	wound healing
PMC5964621	wound healing
PMC5717781	wound healing
PMC5877547	wound healing
PMC5750605	wound healing
PMC5625792	wound healing
PMC5674267	wound healing
PMC5750594	wound healing
PMC5806308	wound healing
PMC5859817	wound healing
PMC5867556	wound healing
PMC5963643	skin penetration
PMC5921405	skin penetration
PMC5993771	spermicidal
PMC5575638	stimulant
PMC5684592	stimulant
PMC5974043	stimulant
PMC5830750	stimulant
PMC5884000	stimulant
PMC6011056	stimulant
PMC5622390	stimulant
PMC5964621	stimulant
PMC5735349	stimulant
PMC5750605	stimulant
PMC5897738	stimulant
PMC5963643	stimulant
PMC5925846	stimulant
PMC5937106	stimulant
PMC5761127	stimulant
PMC5977410	stimulant
PMC5674267	stimulant
PMC5237462	stomachic
PMC5485486	stomachic
PMC5597067	stomachic
PMC5344628	teratogenic
PMC5543433	teratogenic
PMC5248495	tyrosinase inhibitor
PMC5546729	ulcerogenic
PMC5954905	vasodilator
PMC6011056	vasodilator
PMC5282690	vasodilator
PMC5603114	vasorelaxant
PMC5964621	vasorelaxant
PMC5282690	vasorelaxant
PMC5897738	vasorelaxant
PMC5876267	vermifuge
PMC5590066	vulnerary
