						IRREG	"O = Essential Oil(s) tested
C = Control(s) used (if any)
A = Activity(ies) tested
S = Species being tested
P = Parameters values = number of measurement types T = Time Sol = Solution Or = Origin Stg = Insect Stage ?? = Concentration"	ROTGRID = Columns with a values in it.																	
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5750605/		PMC5750605	Antioxidant			5				Antioxidant activity in terms of IC50 values for leaves and rhizome essential oils.	"ACPGREO = Acorus calamus Pithoragarh rhizome essential oil, ACPGLEO = Acorus calamus Pithoragarh leaves essential oil, ACPNREO = Acorus calamus Pantnagar rhizome essential oil, ACPNLEO = Acorus calamus Pantnagar leaves essential oil, ACBTREO = Acorus calamus Bhimtal rhizome essential oil, ACBTLEO = Acorus calamus Bhimtal leaves essential oil. - = Not applicable, Values are means of three replicates ± SD, Within a column, mean values followed by the same letter are not significantly different according to Tukey’s test (p < 0.05)."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5761127/		PMC5761127	"?? kidney markers ??"			5				"Effects of CCl4, MpEO and their combination MpEO/CCl4 on kidney markers in serum of control and experimental rats"	"aMpEO(5 mg/kg BW), bMpEO(15 mg/kg BW), cMpEO(40 mg/kg BW), SL: Silymarin (50 mg/kg BW)
Values are mean ± SEM for ten rats in each group. CCl4, MpEO and MpEO/CCl4 treated groups vs control group; ** p < 0.01, *** p < 0.001, CCl4 group vs MpEO/CCl4group; # p < 0.05, # # p < 0.01, # # # p < 0.001"														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5761127/		PMC5761127	???			6				"Effects of CCl4, MpEO and their combination MpEO/CCl4 on the activities of enzymatic antioxidants in liver of control and experimental rats"	"aMpEO(5 mg/kg BW), bMpEO (15 mg/kg BW), cMpEO(40 mg/kg BW), SL: Silymarin (50 mg/kg BW)
Values are mean ± SEM for ten rats in each group. CCl4, MpEO and MpEO/CCl4 treated groups vs control group; ** p < 0.01, *** p < 0.001, CCl4 group vs MpEO/CCl4 group; # p < 0.05, # # p < 0.01, # # # p < 0.001"														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5761127/		PMC5761127	???			7				"Effects of CCl4, MpEO and their combination MpEO/CCl4 on the activities of enzymatic antioxidants in kidney of control and experimental rats"	"aMpEO(5 mg/kg BW), bMpEO(15 mg/kg BW), cMpEO(40 mg/kg BW), SL: Silymarin (50 mg/kg BW)
Values are mean ± SEM for ten rats in each group. CCl4, MpEO and MpEO/CCl4 treated groups vs control group; ** p < 0.01, *** p < 0.001, CCl4 group vs MpEO/CCl4 group; # p < 0.05, # # p < 0.01, # # # p < 0.001"														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5761127/		PMC5761127	"??? lipid profile??"			4				"Effects of CCl4,MpEO and their combination MpEO/CCl4 on lipid profile in serum of control and experimental rats"	"TC Total cholesterol (mmol/l), HDL high density lipoprotein (mmol/l), TG triglyceride (mmol/l) and LDL low density lipoprotein (mmol/l). aMpEO (5 mg/kg BW), bMpEO (15 mg/kg BW), cMpEO (40 mg/kg BW), SL: Silymarin (50 mg/kg BW)
Values are mean ± SEM for eight rats in each group. CCl4, MpEO and MpEO/CCl4 treated groups vs control group; ** p < 0.01, *** p < 0.001, CCl4 group vs MpEO/CCl4 group; # p < 0.05, # # p < 0.01, # # # p < 0.001"														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5761127/		PMC5761127	Antioxidant (Free radical scavanging)			2				MpEO effects and positive controls on the in vitro free radical(DPPH and superoxide)	"Values are represented as mean ± SEM of six different experiments
*p < 0.05 versus silymarin"														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5761127/		PMC5761127	Serum biochemical parameters ??			3				"Effects of CCl4, MpEO and their combination MpEO/CCl4 on hepatic markers in serum of control and experimental rats"	"AST aspartate aminotransferase, ALT alanine aminotransferase, ALP alkaline phosphatase, LDH lacatate dehydrogenase and γGT gamma glutamyl transferase.aMpEO(5 mg/kg BW), bMpEO(15 mg/kg BW), cMpEO(40 mg/kg BW), SL: Silymarin (50 mg/kg BW)
Values are mean ± SEM for eight rats in each group. CCl4, MpEO and MpEO/CCl4 treated groups vs control group; ** p < 0.01, *** p < 0.001, CCl4 group vs MpEO/CCl4 group; # p < 0.05, # # p < 0.01, # # # p < 0.001"														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5778779/		PMC5778779	Antioxidant			4				Essential oils DPPH and β-carotene-linoleic acid assay results	"Values are expressed as mean of triplicate determinations ± standard deviation
BHT Butylated hydroxyltoluene
Means with the same letters within the same column are not significantly different (p < 0.05)"														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5778779/		PMC5778779	bactericidal			2				Minimum inhibitory (MIC) and bactericidal concentration (MBC) of the essential oil (mg/mL) of Corymbia citriodora leaves Hook and C. macrocarpa branchlets	Means with the same letters within the same column are not significantly different (p < 0.05)														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5778779/		PMC5778779	fungicidal			3				Minimum inhibitory concentration (MIC) and fungicidal concentration (MFC) of different leaf extracts (mg/mL) of Corymbia citriodora and Cupressus macrocarpa	"N.D. Not detected
KTZ Ketoconazole
Means with the same letters within the same column are not significantly different (p < 0.05)"														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5788217/		PMC5788217	Antibacterial			2				Survival population (log CFU/ mL) of Staph. aureus and Salm. Typhimurium treated with ZEO and SNP alone and in combination during 15 min contact time at room temperature.	*Initial bacterial counts: 106 CFU mL-1. Different letters for each column of indicate a statistically significant difference (P < 0.05).														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5789270/		PMC5789270	Antifungal			4				Essential oil vapors effect on germ tube length in vitro measured after 36 h at 20 °C for M. fructicola and 20 h at 20 °C for B. cinerea.	"Values of the same column, followed by the same letter within each column, are not statistically different by Tukey’s Test (p < 0.05)."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5795983/		PMC5795983	Antibacterial			4				Minimal inhibitory concentration 90% (μg·mL−1) for tested bacteria.	n = 7:1 ATCC and 6 clinical isolates; MRSA: methicillin-resistant Staphylococcus aureus; MSSA: methicillin-sensitive Staphylococcus aureus. Polymyxin B and cephalothin: positive controls. Different letters in a column represent significant differences in the minimum inhibitory concentration between microorganism for the same treatment; * differences when MIC value is compared to its respective positive control; p < 0.05.														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5795983/		PMC5795983	"Antifungal
"			3				Minimal inhibitory concentration (μg·mL−1) for tested fungi.	Six replicates; amphotericin B: positive control. Different letters in a column represent significant differences in the minimum inhibitory concentration between microorganism for the same treatment; * differences when minimal inhibitory concentration value is compared to positive control; p < 0.05.														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5795983/		PMC5795983	Cytotoxic			2				Cytotoxic concentration (CC50 μg·mL−1) of essential oil against breast cancer and normal breast cell lines.	Six replicates; values are mean ± standard deviation. MCF-7: human metastatic adenocarcinoma; MDA-MB-231: human metastatic adenocarcinoma; MCF-10A: human mammary epithelial cells. Different letters in a column represent significant differences when p < 0.05.														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5806308/		PMC5806308	Antimicrobial			1				Antimicrobial activity of essential oil and extracts of Ocimum micranthum Willd leaves															
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5811758/		PMC5811758	Anti-inflammatory			1				Effect of Pycnocycla bashagardiana fruit’s essential oil (PBFEO) on the inflammation induced by carrageenan	"Each value represents the mean ± SEM (% inhibition) of 6 rats.
*P<0.05,
**P<0.01,
***P<0.001,
****P<0.0001, Significant difference compared with the control group;
#P<0.05,
##P<0.01, Significant difference compared with the mefenamic acid group"														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5813356/		PMC5813356	Anti-leishmanial (IC50 ±SD) and cytotoxic activity			2				"Anti-leishmanial (IC50 ±SD) and cytotoxic activity (CC50 ±SD) of essentials oils, some of their components and the positive controls"	The letters (a–e) indicate significant differences between the samples according to the Duncan Test (p<0.05)														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5830750/		PMC5830750	Antibacterial							"Antibacterial activity of flower, leaf and root oils of Echinops ilicifolius. IZ: inhibition zone (mm); MIC: minimum inhibitory concentration (µg ml−1); values were expressed as mean ± s.d. (n = 3), values in the same line with different superscripts (a–e) are differences as significant at p < 0.05 by the Duncan test using SPSS."															
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5838999/		PMC5838999				2				Antioxidant activity of the R. acaule essential oil	"+EC50 (mg/mL): effective concentration at which 50% of ABTS radicals are scavenged
++EC50 (mg/mL): effective concentration at which the absorbance is 0.5
+++EC50 (mg/mL): effective concentration at which the total antioxidant activity (TAA) was 50%
Effect of Trolox or Ascorbic acid used as standards, were measured in the same conditions than the RaEO. All experiments were performed in triplicate and the results were expressed as the mean ± standard deviation (SD). Statistical comparisons were performed through an unpaired Student’s t-test using GraphPad InStat version 3.0a for MacIntosh
a: p < 0.05 vs RaEO"														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5846372/		PMC5846372	Antimicrobial			4				"Antimicrobial activity of herbal teas and methanol extracts.
"															
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5846372/		PMC5846372	antioxidant free radical scavenging			3				% inhibition at DPPH and ABTS assay of herbal teas and methanol extracts.															
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5848570/		PMC5848570	Antimicrobial			3				Minimum Inhibitory Concentrations (mg/ml) of C. nigrodigitatus and H. odoe oils as a function of bacteria and extraction methods	Ud undetermined														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5849899/		PMC5849899	Antifungal			1				Effect of clove EO on growth and aflatoxin B1 production by Aspergillus flavus in PDA medium culture	"EO, essential oil; PDA, potato dextrose agar."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5849899/		PMC5849899	Antifungal			2				Effect of thyme EO on growth and aflatoxin B1 production by Aspergillus flavus in PDA medium culture	"In each column different superscript letters indicate significant differences (p < .05).
EO, essential oil; PDA, potato dextrose agar."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5849899/		PMC5849899	Antifungal			3				Effect of clove EO and thyme EO on Aspergillus flavus growth in PDB medium culture	"In each column different superscript letters indicate significant differences (p < .05).
EO, essential oil; PDB, potato dextrose broth."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5849899/		PMC5849899	Antifungal			4				Effect of clove EO and thyme EO on Aspergillus flavus growth and aflatoxin B1 production by Aspergillus flavus in Iranian white cheese	"In each column different superscript letters indicate significant differences (p < .05).
EO, essential oil."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5849928/		PMC5849928	Antibacterial			2				Minimum inhibitory concentration of anise essential oil (AEO)	"Significant differences in a same column are shown by different letters (p < .05).
Values are means ± SD (n = 3). MIC, minimum growth inhibitor concentration."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5858457/		PMC5858457	Larvicidal			1				Larvicidal activity of A. nilotica seed extracts and essential oil against the fourth instar larvae of An. stephensi.	"* indicates significantly difference (p < 0.01) between different solvent extracts. LC50—lethal concentration that kills 50% of the exposed larvae, LC90—lethal concentration that kills 90% of the exposed larvae, UCL—upper confidence limit (95%), LCL—lower confidence limit (95%), df—degrees of freedom."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5858457/		PMC5858457	Larvicidal			2				Larvicidal activities of A. nilotica seed extracts and essential oil against the fourth instar larvae of Ae. aegypti.	"* indicates significantly difference (p < 0.01) between different solvent extracts. LC50—lethal concentration that kills 50% of the exposed larvae, LC90—lethal concentration that kills 90% of the exposed larvae, UCL—upper confidence limit (95%), LCL—lower confidence limit (95%), df—degrees of freedom."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5858457/		PMC5858457	Larvicidal			3				Larvicidal activities of A. nilotica seed extracts and essential oil against the fourth instar larvae of Cx. quinquefasciatus.	"*indicates significantly difference (p < 0.01) between different solvent extracts. LC50—lethal concentration that kills 50% of the exposed larvae, LC90—lethal concentration that kills 90% of the exposed larvae, UCL—upper confidence limit (95%), LCL—lower confidence limit (95%), df—degrees of freedom."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5858457/		PMC5858457	Larvicidal			4				Smoke toxicity of A. nilotica plant seeds powder mosquito coil compared with commercial mosquito coil and mosquito coil without any plant powder on major mosquito vectors.															
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5859817/		PMC5859817	Burn Wound Healing			2				Burn wound areas of experimental mice after 10 days and 20 days.	"a,b,cValues with different letters within the rows are significantly different (p < 0.05)."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5867556/		PMC5867556	Polyphenols content and antioxidant activity			2	IRREG			"Polyphenols content and antioxidant activity of the various propolis preparations measured by the radical scavenging effect on 2,2-diphenyl-1-picrylhydrazyl (DPPH) and reported as µg trolox (6-hydroxy-2,5,7,8-tetramethylchroman-2-carboxylic acid) equivalent/mg polyphenols. Data are illustrated as mean ± standard errors."															
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5871051/		PMC5871051	Bactericidal			3				"Minimum Inhibitory Concentration (MIC) and Minimum Bactericidal Concentration (MBC) of the Bunium persicum, Eucalyptus globulus, and Rose Water Against Listeria spp Isolated From Seafood."	"Abbreviations: E, ethanolic extract; EO, essential oil; NE, no effect."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5871051/		PMC5871051	Bactericidal			4				"Effects of Bunium persicum, Eucalyptus globulus, and Rose Water in MIC Concentrations on Cell Constituents’ Release of Listeria spp Isolated From Seafood.*"	"E, ethanolic extract; EO: essential oil; ND, not detected; OD260 nm, optical density at 260 nm.
*Different superscript letters a, b, c, and d in the column indicate significant differences (P = .00)."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5871294/		PMC5871294	Antibacterial			2				Antibacterial Activity (MIC and MBC) of Essential Oil Distilled From Salvia mirzayanii.	"Abbreviations: GM, geometric mean; MIC, minimum inhibitory concentration; MBC, minimum bactericidal concentration."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5871294/		PMC5871294	Antifungal			3				Antifungal Activity (MIC and MFC) of Essential Oil From Salvia mirzayanii.	"Abbreviations: MIC, minimum inhibitory concentration; MFC, minimum fungicidal concentration."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5871294/		PMC5871294	Antifungal			4				Antifungal Activity of Essential Oil of Salvia mirzayanii against Azole-Sensitive and Azole-Resistant Candida.	"Abbreviations: GM, geometric mean; MIC, minimum inhibitory concentration; MFC, minimum fungicidal concentration."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5872290/		PMC5872290	Larvicidal and Pupaecidal			2				LC50 and LC90 (µg/mL) of essential oils on Culex quinquefasciatus at III instar and pupal stages after 24 h of exposure.	"In parenthesis, 95% confidence intervals, essential oils activity is considered significantly different when the 95% CI fail to overlap. ** Chi-square value, significant at p < 0.05 level."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5872290/		PMC5872290	Larvicidal and Pupaecidal			3				LC50 and LC90 (µg/mL) of the major constituents of the essential oils at III instar and pupal of Culex quinquefasciatus after 24 h of exposure.	"In parenthesis, 95% confidence intervals, essential oils activity is considered significantly different when the 95% CI fail to overlap. ** Chi-square value, significant at p < 0.05 level."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5872290/		PMC5872290	Larvicidal and Pupaecidal			4				Percentage of Culex quinquefasciatus larvae mortality upon exposure to water contaminated by LC50 doses.	Numbers in column followed by different letters are significantly different at level of p < 0.05 according to Tukey’s test.														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5872290/		PMC5872290	Larvicidal and Pupaecidal			5				"Oviposition deterrent activity of P. anisum, L. berlandieri and C.aurantifolia essential oils and their major components against gravid female Culex quinquefasciatus."	Each value represents the mean (±SE) of five values. Values with different letters are significantly different at p < 0.05 level (Tukey’s test of multiple comparison).														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5872290/		PMC5872290	Larvicidal and Pupaecidal			6				Effect of binary mixtures of individual compounds on the mortality against Culex quinquefasciatus larvae.															
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5872290/		PMC5872290	Larvicidal and Pupaecidal			7				Effect of binary mixtures of individual compounds on the mortality against Culex quinquefasciatus pupae.															
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5885327/		PMC5885327	anti-trichomonal			1				In vitro anti-trichomonal activity of metronidazole (MTZ) and P. roseum essential oil (EO) against trophozoites of T. gallinae.	"Data are presented as mean ± SEM. Mean number of trophozoites×104.
a, b, c different letters in the same row indicate statistical significant difference (p<0.05)."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5885327/		PMC5885327	anti-trichomonal			2				In vivo anti-trichomonal activity of metronidazole (MTZ) and P. roseum essential oil (EO) against T. gallinae.	"Data are presented as Mean ± SEM. Mean number of trophozoites×104.
a, b, c different letters in the same row indicate statistical significant difference (p<0.05)."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5897738/		PMC5897738	Smooth Muscle Relaxant (Anti-contractile)?			3				Effects of drugs on the contractile response to RC crude extract (60 μg/ml) on guinea pig small intestine (mean ± SEM).	"Values significantly different from the respective control group are indicated by asterisks (∗). #methysergide (0.3 μM), SB204070 (1 μM) and Y25130 (1 μM). &10 μM of capsaicin for 10 min, followed by a 60-min washout period."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5897738/		PMC5897738	Smooth Muscle Relaxant (Anti-contractile)?			4				"Contractile effects of RC extract fractions on guinea pig ileum (longitudinally oriented preparations, mean ± SEM)."	Asterisks denote values significantly different from a pooled group of solvent effects (Kruskal–Wallis test for several unrelated samples).														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5897738/		PMC5897738	Smooth Muscle Relaxant (Anti-contractile)?			5				Relaxing effect of RC crude extract and essential oil on the pre-contracted ileum.	"Atropine and tetrodotoxin (0.5 μM each) were present in the medium in order to inhibit the contractile effect of the RC extract. Tonic submaximal contraction was evoked with histamine (0.5 μM for 15 min). Values are given in %, where 100% means full relaxation reaching the pre-histamine values (mean ± SEM). Asterisks denote values significantly different from a pooled group of solvent effects (0.3 or 1 μl/ml of DMSO, see text) (Kruskal–Wallis test for several unrelated samples)."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5897738/		PMC5897738	Smooth Muscle Relaxant (Anti-contractile)?			6				Relaxant effects of RC extract fractions on pre-contracted guinea pig ileum (mean ± SEM).	100% relaxation denotes that tone returns to baseline. Asterisks denote values significantly different from a pooled group of solvent effects (0.3 or 1 μl/ml DMSO) (Kruskal–Wallis test for several unrelated samples).														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5897738/		PMC5897738	Smooth Muscle Relaxant (Anti-contractile)?			7				Relaxant effects of flavonoids on pre-contracted guinea pig ileum (mean ± SEM).	100% relaxation denotes that tone returns to baseline. The solvent contained a maximum of 10% DMSO and had no relaxant effect in the volumes used.														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5897738/		PMC5897738	Smooth Muscle Relaxant (Anti-contractile)?			8				"Contractile effect of RC extract on guinea pig urinary bladder strip, without pretreatment and following treatment with capsaicin or its solvent (mean ± SEM)."	#Solvent and time control for capsaicin. &Capsaicin was added and incubated for 10 min. This was followed by a 90-min washout period. ∗Significantly different from the ethanol control.														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5902937/		PMC5902937	anti-arthritic			3		"Strangely, this article displays their last two tables in reverse order."		"Effect of milk thistle oil on egg albumin and BSA denaturation, during seed maturation"	"Values were expressed as means ± SD of triplicate experiments
a% of inhibition of egg albumin denaturation
b% of inhibition of bovine serum albumin (BSA) denaturation"														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5902937/		PMC5902937	antioxidant and anti-arthritic			4		"Strangely, this article displays their last two tables in reverse order."		"Correlation coefficients (r) between policoanol content, antioxidant and anti-arthritic activities of milk thistle oil, during seed maturation"	"TPC Total Policosanol content
DPPH 1,1-diphenyl-2-picrylhydrazyl radical
ABTS 2,2′-azino-bis (3-ethyl-benzthiazoline-6-sulfonic acid)
EAD egg albumin denaturation
BSA bovine serum albumin denaturation"														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5905380/		PMC5905380	Larvicidal			3				"LC50 and LC95 values for garlic essential oil, asafoetida essential oil, their combination, and one of their components (allyl disulfide) against Cx. pipiens and Cx. restuans larvae"	Values in parenthesis are 95% confidence limits.														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5905380/		PMC5905380	Ovicidal			2				"Effect of garlic essential oil, asafoetida essential oil, and one of their components (allyl disulfide) on hatch rate of Culex eggs"															
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5918559/		PMC5918559	anthelmintic			2				Effects (mean percentage ± SE) of tested essential oils on inhibition of egg hatching of H. contortus	"Abbreviations: IC50, inhibitory concentration 50%; R2, nonlinear correlation coefficient
aNo statistically significant difference between positive control and treatments
bSignificant difference between positive control or treatments with negative control (ANOVA, followed by Tukey test; P < 0.05)"														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5918559/		PMC5918559	anthelmintic (Inhibition)			3				Effects (mean percentage ± SE) of different concentrations of essential oils on inhibition of larval development of H. contortus	"Abbreviations:C50, inhibitory concentration 50%; R2, nonlinear correlation
aNo statistically significant difference between positive control and treatments
bSignificant difference between positive control or treatments with negative control (ANOVA, followed by Tukey test; P < 0.05)"														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5918559/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5918559/table/Tab4/?report=objectonly	PMC5918559	anthelmintic (Mortality)			4				Percentage of motility of H. contortus adult worns when exposed to different concentrations of essential oils	"Key: Control (+), levamisole 20 mg/ml; Control (-) 1, PBS + antibiotic (penicillin/streptomycin) 4% + tween 80 2%; Control (-) 2, PBS + antibiotic (penicillin/streptomycin) 4%
aNo statistically significant difference between positive control and treatments
bSignificant difference between positive control or treatments with negative control (ANOVA, followed by Tukey test; P < 0.05)"														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5933010/		PMC5933010	antioxidant			4				Effects of MPEO on the hepatic antioxidant profile in CCl4-induced liver fibrosis.	Group 1: normal control; group 2: liver fibrosis control; group 3: MPEO-treated; group 4: MPEO control. Values are expressed as mean ± SE. Different superscripts mean significant differences between groups in the same column at p < 0.05. GSH: reduced glutathione; SOD: superoxide dismutase; CAT: catalase; TAC: total antioxidant capacity.														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5933010/		PMC5933010	Improves Liver Functions (Enzyme modulation)			3				"Effects of MPEO on liver enzymes, NO content, and lipid peroxidation byproduct (MDA) in CCl4-induced liver fibrosis."	Group 1: normal control; group 2: liver fibrosis control; group 3: MPEO-treated; group 4: MPEO control. Values are expressed as mean ± SE. Different superscripts mean significant differences between groups in the same column at p < 0.05. ALT: alanine transaminase; AST: aspartate transaminase; NO: nitric oxide; MDA: malondialdehyde.														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5933010/		PMC5933010	pathological grading (			5				Effect of MPEO on the pathological grading of CCl4-induced fibrotic liver in rats.	Group 1: normal control; group 2: liver fibrosis control; group 3: MPEO-treated; group 4: MPEO control. Data are presented as the mean of ten fields. n: number of rats. aSignificant difference from the control group at p < 0.01. bSignificant difference from model group at p < 0.05.														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5933022/		PMC5933022	Antimicrobial			3				"Determination of minimum inhibitory concentration (MIC) of the oleogels containing different concentrations of thyme essential oil.
"															
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5933692/		PMC5933692	Anti-tumor			3				"Results of cell counting analysis in the five cell lines following treatment with antioxidant N-acetyl-L-cysteine (NAC) at two concentrations, 1 mM and 2 mM before exposure to the essential oil at the corresponding IC50.
Data are expressed as mean ± standard deviation (SD)."	"Different letters (a, b and c) in the column of the cell lines and treatments represent significant differences among the treatments of each cell line;
* differences when treatments are compared to the control; p < 0.05."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5933692/		PMC5933692	Antioxidant			4				Results of antioxidant activity performed with DPPH method (DPPH free radical scavenging activity).															
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5933692/		PMC5933692	Antioxidant?			2		Antioxidant?		IC50 values of the five cell lines treated with the essential oil of G. rosmarinifolia.															
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5937097/	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5937097/table/T2/?report=objectonly	PMC5937097	Antiparasitic and cytotoxicity			2				Antiparasitic and cytotoxicity activity of the essential oil of Piper tuberculatum	EOPT: Essential oil of Piper tuberculatum; NIFU: Nifurtimox; PENTA: Pentamidine; METRO: Metronidazole; AP: Anti-promastigote activity; AE: Anti-epimastigote activity; CTF: Cytotoxicity in Fibroblasts.														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5940754/		PMC5940754	Insecticidal			2				"Relative susceptibility of key lepidopteran pests (i.e., S. frugiperda and A. gemmatalis) to the essential oil of S. guianensis and the synthetic insecticide indoxacarb (oxadiazine)."	*Tolerance ratio estimated by dividing the LC50 value obtained for S. frugiperda strains by the LC50 value obtained for A. gemmatalis strain.														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5940754/		PMC5940754	Larvicidal			3				"Results of the analysis of variance for the general activity of 3rd instar larvae groups of key lepidopteran pests (i.e., S. frugiperda and A. gemmatalis) after 3, 6 and 16 h of exposure to the LC10 or LC50 of the S. guianensis essential oil estimated for each lepidopteran pest."	"S: insect species (i.e., S. frugiperda and A. gemmatalis); EOC: LC10 and LC50 values of the S. guianensis essential oil estimated for each lepidopteran pest."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5940754/		PMC5940754	multivariate analysis of variance for the walking behavior			4		Not sure how to describe this activity		"Results of the multivariate analysis of variance for the walking behavior of the 3rd instar larvae of key lepidopteran pests (i.e., S. frugiperda and A. gemmatalis) in arenas treated with either the LC10 or LC50 of the oil of S. guianensis."	"T: time of exposure (i.e., 3, 6 and 16 h); S: insect species (i.e., S. frugiperda and A. gemmatalis); EOC: LC10 and LC50 values of the S. guianensis essential oil estimated for each lepidopteran pest."														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5952513/		PMC5952513	Larvicidal			2				"Larvicidal activity of Zanthoxylum acanthopodium essential oil, estragole and eucalyptol against fourth instar Anopheles sinensis larvae"	"Each datum represents the mean of five replicates, each set up with 20 individuals (n = 100)
LC values are considered significantly different when 95% CI fail to overlap
95% CI confidence interval at 95% confidence level
aThe significance level is more than 0.05. A heterogeneity factor is used in the calculation of confidence limits
"														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5952513/		PMC5952513	Larvicidal			3				"Larvicidal activity of Zanthoxylum acanthopodium essential oil, estragole and eucalyptol against fourth instar Anopheles anthropophagus larvae
"	"LC values are considered significantly different when 95% CL fail to overlap
95% CI confidence interval at 95% confidence level
aThe significance level is more than 0.05, a heterogeneity factor is used in the calculation of confidence limits
"														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5958151/		PMC5958151	antifungal			3				Minimal inhibitory concentration (MIC) (μl/ml) of tested essential oils	"R, resistant"														
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5960548/		PMC5960548	Antioxidant			2				Antioxidative activity of the essential oil of Melaleuca alternifolia.															
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5963643/		PMC5963643	Antiradical / Antioxidant			2				Antiradical activities and linoleic acid oxidation inhibitions of O. majorana essential oil and positive controls.	"BHT, butylated hydroxytoluene; DPPH, 2,2-diphenyl-1-picrylhydrazyl; I%, inhibition in percentage."														
