Essoil DB Correction needed	Multi CAIDs	caid	caname	unique/synonym	uactivityMatch	uactivity	caName and Synonyms	ActivityClass	(Phytomedicinal Activity) ActionType	Activity Description (AMBRISH: Please try to extract the activity descriptions into a new column/field. These need to be verified somehow)	Specific ActivityTarget	Reported Uses (Diseases, Symptoms, etc.)	MannyNotes_Compound Activity	Route of use: Topical Oral Uncertain Both	VC Product Class	VC Utitlity		caname
			Vitamin F:	F	F	Ornithine-Decarboxylase Inhibitor		Cellular Nutrition	Nutritive | Vitamin	Vitamin F: Composed of Two Fatty Acids—linoleic Acid (La) and Alpha-linoleic Acid (Lna)—with Linoleic Acid Being the Most Complete Fatty Acid		Nutrient Deficiency | Vitamin F: Composed of Two Fatty Acids;linoleic Acid (La) and Alpha-linoleic Acid (Lna)	Vitamin F: Composed of Two Fatty Acids—linoleic Acid (La) and Alpha-linoleic Acid (Lna)—with Linoleic Acid Being the Most Complete Fatty Acid		RENEW	Good		Vitamin F:
			Vitamin K1: Phylloquinone	F	F	Oxytocic		Cellular Nutrition	Nutritive | Vitamin			Nutrient Deficiency | Vitamin K1: Phylloquinone			RENEW	Good		Vitamin K1: Phylloquinone
			Vitamin K2: (Menaquinone	F	F	Ozone-Scavenger		Cellular Nutrition	Nutritive | Vitamin			Nutrient Deficiency | Vitamin K2: Menaquinone			RENEW	Good		Vitamin K2: (Menaquinone
Too Vague to be meaningful. Suggest delete		96	Cosmetic	F	F	Perfumery		Complexion Enhancer	Cosmetic	Complexion Enhancer | Cosmetic			Too Vague to be meaningful. Suggest delete		RENEW	Neutral		Cosmetic
					F	Peristaltic		Complexion Enhancer	Firmness (’Support Scaffolding’) | Collagen, Procollagen	Firmness (’Support Scaffolding’) | Collagen, Procollagen	Increase Collagen				RENEW	Good		
					F	Pesticide		Complexion Enhancer	Firmness (’Support Scaffolding’) | Collagen, Procollagen	Firmness (’Support Scaffolding’) | Collagen, Procollagen	Increase Procollagen				RENEW	Good		
					F	Pheromone		Complexion Enhancer	Hydration promotor									
			Anti-Melasmic	F	F	Phosphorus		Complexion Enhancer	Melanin/Pigment Reducer | Anti-Melasmic	An agent (such as Hydroquinone) used to relieve effects of melasma, characterized by a tan or dark skin discoloration often during pregnancy.					RENEW	Good		Anti-Melasmic
					F	Photoprotectant		Complexion Enhancer	Moisture Balancing						RENEW			
					F	Photosensitizer		Complexion Enhancer	Oiliness/Sebum Reducer	Pore/Follicle | Oiliness/Sebum Reduction					RENEW			
					F	Potassium		Complexion Enhancer	Regeneration/Renewal Stimulation	Regeneration/Renewal Stimulation					RENEW			
					F	Prooxidant		Complexion Enhancer	Regenerative	Regeneration/Renewal Stimulation					RENEW			
					F	Prostaglandin Synthesis-Inhibitor		Complexion Enhancer | Anti-comedogenic	Anti-comedogenic	Anti-comedogenic | Anti-hyperkeratinization (Retention Hyperkeratosis)		hyperkeratinization, Retention Hyperkeratosis			RENEW	Good		
					F	Prostatitigenic		Complexion Enhancer | Anti-comedogenic	Anti-pore/Follicle Constriction	Anti-comedogenic | Anti-pore/Follicle Constriction | (Aka Ductal Hyperconication) (Aka. Pore = Pilosebaceous Orifice)	Constricted Pores/Follicles: Retention Hyperkeratosis and Ductal Hyperconication				RENEW	Good		
					F	Pungency		Complexion Enhancer | Anti-comedogenic	Anti-pore/Follicle Constriction caused by excess Androgen	Anti-comedogenic | Anti-pore/Follicle Constriction caused by excess Androgen					RENEW	Good		
					F	Renoirritant		Complexion Enhancer | Elasticity (’springy-ness’)	Blocks Elastase	Elasticity (’springy-ness’) | Blocks Elastase	Blocks Elastase, Neutratize Enzymes That Destroy Connective Tissue				RENEW	Good		
					F	Reproductive toxicity		Complexion Enhancer | Elasticity (’springy-ness’)	Collagen Production	Elasticity (’springy-ness’) | Fibroblast Proliferation and Collagen and Elastin Production					RENEW	Good		
					F	Respirainhibitor		Complexion Enhancer | Elasticity (’springy-ness’)	Elasticity (’springy-ness’) | Production/Conservation of Fibroblasts, Elastin, Tropoelastin, and Fibrillin-1	Elasticity (’springy-ness’) | Production/Conservation of Fibroblasts, Elastin, Tropoelastin, and Fibrillin-1					RENEW	Good		
					F	Respirastimulant		Complexion Enhancer | Elasticity (’springy-ness’)	Elastin Production	Elasticity (’springy-ness’) | Fibroblast Proliferation and Collagen and Elastin Production					RENEW	Good		
						Respiratory toxicity		Complexion Enhancer | Elasticity (’springy-ness’)	Fibroblast Proliferation and Collagen and Elastin Production	Elasticity (’springy-ness’) | Fibroblast Proliferation and Collagen and Elastin Production					RENEW	Good		
		10	Anti-TNF (Tumor Necrosis Factor)	F	F	Rubefacient		Complexion Enhancer | Skin Thickener (Endothelial Proliferative)	Anti-TNF (Tumor Necrosis Factor)	Endothelial Proliferative) | INHIBITS TNF (Tumor Necrosis Factor) and stimulates endothelial cell activation and angiogenesis: TNF inhibitors are drugs that help stop inflammation. They're used to treat diseases like rheumatoid arthritis (RA), juvenile arthritis, psoriatic arthritis, plaque psoriasis, ankylosing spondylitis, ulcerative colitis (UC), and Crohn's disease. They're also called TNF blockers, biologic therapies, or Anti-TNF drugs. Potent proinflammatory and immunoregulatory mediator, stimulates endothelial cell activation and angiogenesis. IL-1 and TNF-alpha share many activities, including the ability to enhance cytokine production, adhesion molecule expression, proliferation					REMOVE / RENEW	Good		Anti-TNF (Tumor Necrosis Factor)
			Anti-TNF (Tumor Necrosis Factor)	S	F	secreted by insect for defence		Complexion Enhancer | Skin Thickener (Endothelial Proliferative)	Endothelial Proliferative	Endothelial Proliferative) | INHIBITS TNF (Tumor Necrosis Factor) and stimulates endothelial cell activation and angiogenesis: TNF inhibitors are drugs that help stop inflammation. They're used to treat diseases like rheumatoid arthritis (RA), juvenile arthritis, psoriatic arthritis, plaque psoriasis, ankylosing spondylitis, ulcerative colitis (UC), and Crohn's disease. They're also called TNF blockers, biologic therapies, or Anti-TNF drugs. Potent proinflammatory and immunoregulatory mediator, stimulates endothelial cell activation and angiogenesis. IL-1 and TNF-alpha share many activities, including the ability to enhance cytokine production, adhesion molecule expression, proliferation					REMOVE / RENEW	Good		Anti-TNF (Tumor Necrosis Factor)
			Anti-TNF (Tumor Necrosis Factor)	S	F	Secretolytic		Complexion Enhancer | Skin Thickener (Endothelial Proliferative)	TNF (Tumor Necrosis Factor) inhibitor	Endothelial Proliferative) | INHIBITS TNF (Tumor Necrosis Factor) and stimulates endothelial cell activation and angiogenesis: TNF inhibitors are drugs that help stop inflammation. They're used to treat diseases like rheumatoid arthritis (RA), juvenile arthritis, psoriatic arthritis, plaque psoriasis, ankylosing spondylitis, ulcerative colitis (UC), and Crohn's disease. They're also called TNF blockers, biologic therapies, or Anti-TNF drugs. Potent proinflammatory and immunoregulatory mediator, stimulates endothelial cell activation and angiogenesis. IL-1 and TNF-alpha share many activities, including the ability to enhance cytokine production, adhesion molecule expression, proliferation		Skin Thickener (Endothelial Proliferative)			REMOVE / RENEW	Good		Anti-TNF (Tumor Necrosis Factor)
		42	Anti-keratotic	F	F	Sedative		Complexion Enhancer | Skin Thinner	Anti-keratotic	Anti-proliferative | Keratolytic therapy thins the skin on and around the lesion. It causes the outer layer of the skin to loosen and shed. treatment to remove warts, calluses and other lesions in which the epidermis produces excess skin					RENEW	Good		Anti-keratotic
		49	Anti-mitotic	F	F	Selenium		Complexion Enhancer | Skin Thinner	Anti-mitotic	Anti-proliferative | adjective Referring to an agent or mechanism that inhibits mitosis—i.e., the multiplication of cancer cells. noun An agent used to manage cancer that acts by inhibiting cell division					RENEW	Good		Anti-mitotic
					F	Skin healing properties		Complexion Enhancer | Skin Thinner	Anti-proliferative	Anti-proliferative | Keratolytic therapy thins the skin on and around the lesion. It causes the outer layer of the skin to loosen and shed. treatment to remove warts, calluses and other lesions in which the epidermis produces excess skin					RENEW	Good		
					F	Skin Penetration Enhancer		Complexion Enhancer | Taughtness (Astringent)	Astringent	Taughtness (Astringent) | Tightens by contracting blood vessels and certain body tissues: A substance that contracts blood vessels and certain body tissues (such as mucous membranes) with the effect of reducing secretion and excretion of fluids and/or has a drying effect.					RENEW			
					F	Sodium		Complexion EnhancerComplexion Enhancer | Anti-comedogenic	Anti-hyperkeratinization	Anti-comedogenic | Anti-hyperkeratinization (Retention Hyperkeratosis)		hyperkeratinization, Retention Hyperkeratosis			RENEW	Good		
		106	Detoxicant	F	F	Spasmogenic		Detox | Cellular Health	Detoxicant	Detoxicant: removes or renders a substance harmless					RENEW	Good		Detoxicant
			Detoxifier	F	F	Spermicide		Detox | System Health	Detoxifier (Generic term)	Detoxifier: A substance that promotes the removal of toxins from a system or organ.			Very iffy. Delete?			Neutral		Detoxifier
					F	Stimulant		Digestion	Antacid	Antacid: A substance reduces or neutralizes stomach acid.					DIGESTION	Neutral		
		29	Anti-edemic	F	F	Stomachic		Digestion	Anti-edemic	Anti-edemic | Prevents vomiting: A compound (chiefly of a drug) preventing vomiting					DIGESTION	Neutral		Anti-edemic
		31	Anti-emetic	F	F	Sulphur		Digestion	Anti-emetic	Anti-emetic | Anti-Nausea: used or tending to prevent or relieve nausea and vomiting. (Nausea: a stomach distress with distaste for food and an urge to vomit) Broadly, Anti-emetics may be divided into two groups: drugs that are effective in combating motion sickness and drugs that are effective against nausea and vomiting due to other causes. The exact way in which these drugs work is not known, although they may act by depressing the chemoreceptor trigger zone, which is located in the hypothalamus of the brain and controls vomiting.			Not sure if this should be in digestion, or analgesic		DIGESTION	Neutral		Anti-emetic
					F	Teratogenic		Digestion	Aperient	Aperient | A very mild or gentle laxative (Generic term): aperient action is used as a very mild or gentle laxative (generic term) to increase mucus and water in the intestine to aid in elimination (and which might take a day or two to take effect)					REMEDY	Neutral		
					F	Termiticide		Digestion	Appetite Stimulant	A substance use to increase or stimulate the appetite.					DIGESTION	Neutral		
					F	Termitifuge		Digestion	Appetite Suppressant	A substance use to suppress the appetite and/or satiate the feelings of hunger.					DIGESTION	Neutral		
					F	Tranquilizer		Digestion	Cathartic	Laxative | Purgative or Cathartic | Promotes the immediate and complete evacuation of bowel: A substance used to cleanse or purge, especially causing the immediate evacuation of the bowel. Purgative or cathartic action promotes the immediate and complete evacuation of bowel (oftentimes prior to liquefying), acts in a few hours or less, and can sometimes cause intestinal cramping because it also stimulates the smooth muscles in the colon to move things along rather quickly					REMEDY	Neutral		
			Emetic	F	F	Transdermal		Digestion	Emetic	Emetic: An agent that induces vomiting.					REMEDY	Neutral		Emetic
			Enterocontractant	F	F	Trichomonicide Activity		Digestion	Enterocontractant	Enterocontractant | Promotes intistine-specific peristaltic contraction: Entero-: Prefix referring to the intestine; contractant: one that contracts, similar meaning to that above but intestine specific					REMEDY	Neutral		Enterocontractant
					F	Trichomonistat		Digestion	Enterorelaxant	Enterorelaxant | Inhibits intenstine-specific peristalsis: Entero-: Prefix referring to the intestine; relaxant: one that relaxes relaxes specifically : one that relieves muscular tension.			Enterorelaxant is not found in any medical dictionary		REMEDY	Neutral		
			Peristaltic	F	F	Trypsin-Enhancer		Digestion	Peristaltic	Peristaltic | Promotes nonspecific peristaltic contraction: relating to peristalsis, normally the wavelike muscular contractions of the digestive tract where food is forced onward toward the rectum					REMEDY	Neutral		Peristaltic
					F	Tumor-promotor		Digestion	Purgative	Laxative | Purgative or Cathartic | Promotes the immediate and complete evacuation of bowel: A substance used to cleanse or purge, especially causing the immediate evacuation of the bowel. Purgative or cathartic action promotes the immediate and complete evacuation of bowel (oftentimes prior to liquefying), acts in a few hours or less, and can sometimes cause intestinal cramping because it also stimulates the smooth muscles in the colon to move things along rather quickly					REMEDY	Neutral		
					F	Tyrosinase-Inhibitor	Ptysmagogue or ptyalagogue	Digestion	Sialogogue	Sialogogue (Ptysmagogue or ptyalagogue) | Salivation-promoter: (Salivation-promoter) A substance used to increase or promote the excretion of saliva.					REMEDY	Neutral		
		171	Stomachic	F	F	Ulcerogenic	Digestion Stimulant	Digestion	Stomachic	Stomachic (Digestion Stimulant) | Stimulant or tonic for the stomach: A stimulant or tonic for the stomach. An agent that stimulates or strengthens the activity of the stomach; used as a tonic to improve the appetite and digestive processes.					REMEDY	Neutral		Stomachic
Separate conames		141	Laxative, Pesticide	ME, F, F	F	under testing as a skin penetration enhancer for the transdermal delivery of therapeutic drugs		Digestion								Neutral		Laxative, Pesticide
					F	used in manufacture of MDMA(ecstasy)	Alterative	Disease-Specific	Adaptogen	Adaptogen (Alterative): A substance which restores or balances in some unknown way the normal functions of an organ or system.					REMEDY	Good		
		12	Anti-acne	S	F	used in traditional chinese medicine		Disease-Specific	Anti-Acne (Generic Term)	Anti-Acne: generally tending to prevent acne or to alleviate the symptoms of acne		Acne			REMOVE	Good		Anti-acne
		16	Anti-alzheimeran	F	F	Varroacide		Disease-Specific	Anti-Alzheimer agent	Anti-Alzheimer agent | Counters Alzheimer's disease		Alzheimers	https://www.naturalmedicinefacts.info/activity/Anti-alzheimeran.html		REMEDY			Anti-alzheimeran
			Anti-asthmatic	F	F	Vasoconstrictor		Disease-Specific	Anti-asthmatic	Anti-asthmatic: Reverses Asthma		Asthma			REMOVE	Good		Anti-asthmatic
		19	Anti-asthmatic	S	F	Vasodilator		Disease-Specific	Anti-asthmatic	Counteracts Asthma					REMOVE	Good		Anti-asthmatic
		188	Anti-tumor	S	F	Vasorelaxant		Disease-Specific	Anti-carcinogenic | Anti-Cancer/Tumor (Generic Term)	A substance that kills or inhibits carcinomas (any cancer that arises in epithelium/tissue cells). An anticarcinogen (also known as a carcinopreventive agent) is a natural or laboratory-made substances to prevent or slow the development of cancer. Anticarcinoma agents (also known as anticancer or anti-neoplastic agents) are used to selectively destroy or inhibit cancer cells after cancer has developed.		Cancer/Tumors			REMEDY	Good		Anti-tumor
			Anti-leukemic	F	F	Vermifuge		Disease-Specific	Anti-carcinogenic | Anti-Cancer/Tumor | Anti-leukemic	A substance that kills or inhibits the growth of leukemia cells.	Blood cancers that usually begin in the bone marrow	Cancer/Tumors			REMEDY	Good		Anti-leukemic
			Anti-tumor (Breast)	F	F	Verrucolytic		Disease-Specific	Anti-carcinogenic | Anti-Cancer/Tumor | Breast	An anticarcinogen (also known as a carcinopreventive agent) is a natural or laboratory-made substances to prevent or slow the development of cancer. Anticarcinoma agents (also known as anticancer or anti-neoplastic agents) are used to selectively destroy or inhibit cancer cells after cancer has developed.	Breast tissue	Cancer/Tumors			REMEDY	Good		Anti-tumor (Breast)
			Anti-tumor (Pancreas)	F	F	Vibriocide		Disease-Specific	Anti-carcinogenic | Anti-Cancer/Tumor | Pancreas	An anticarcinogen (also known as a carcinopreventive agent) is a natural or laboratory-made substances to prevent or slow the development of cancer. Anticarcinoma agents (also known as anticancer or anti-neoplastic agents) are used to selectively destroy or inhibit cancer cells after cancer has developed.	Pancreas	Cancer/Tumors			REMEDY	Good		Anti-tumor (Pancreas)
		71	Anti-tumor (Prostate)	F	F	Vitamin A stabiliser		Disease-Specific	Anti-carcinogenic | Anti-Cancer/Tumor | Prostate	An anticarcinogen (also known as a carcinopreventive agent) is a natural or laboratory-made substances to prevent or slow the development of cancer. Anticarcinoma agents (also known as anticancer or anti-neoplastic agents) are used to selectively destroy or inhibit cancer cells after cancer has developed.	Prostate	Cancer/Tumors			REMEDY	Good		Anti-tumor (Prostate)
		85	Cancer Preventive	F	F	Vitamin A: Retinol		Disease-Specific	Anti-carcinogenic | Cancer/Tumor preventive | Chemopreventive	An anticarcinogen (also known as a carcinopreventive agent) is a natural or laboratory-made substances to prevent or slow the development of cancer. Anticarcinoma agents (also known as anticancer or anti-neoplastic agents) are used to selectively destroy or inhibit cancer cells after cancer has developed.		Cancer/Tumors	see 85 and 93		REMEDY	Good		Cancer Preventive
		86	Cancer-Preventive	S	F	Vitamin B1: Thiamine		Disease-Specific	Anti-carcinogenic | Cancer/Tumor preventive | Chemopreventive	An anticarcinogen (also known as a carcinopreventive agent) is a natural or laboratory-made substances to prevent or slow the development of cancer. Anticarcinoma agents (also known as anticancer or anti-neoplastic agents) are used to selectively destroy or inhibit cancer cells after cancer has developed.		Cancer/Tumors			REMEDY	Good		Cancer-Preventive
		93	Chemopreventive	S	F	Vitamin B12: Cobalamin		Disease-Specific	Anti-carcinogenic | Cancer/Tumor preventive | Chemopreventive	An anticarcinogen (also known as a carcinopreventive agent) is a natural or laboratory-made substances to prevent or slow the development of cancer. Anticarcinoma agents (also known as anticancer or anti-neoplastic agents) are used to selectively destroy or inhibit cancer cells after cancer has developed.		Cancer/Tumors	see 85 and 93		REMEDY	Good		Chemopreventive
			Anti-nitrosaminic	F	F	Vitamin B2: Riboflavin		Disease-Specific	Anti-carcinogenic | Cancer/Tumor preventive | Chemopreventive | Anti-nitrosaminic	Nitrosamines are chemical compounds, most of which are carcinogenic. They are used in the manufacture of cosmetics, pesticides, tobacco products and in most rubber products like balloons and condoms. Nitrosamines are produced when nitrites and amines combine in acidic places like the human stomach.	Nitrosamines	Cancer/Tumors			REMEDY	Good		Anti-nitrosaminic
		46	Anti-lymphomic	F	F	Vitamin B3: Niacin		Disease-Specific	Anti-carcinoma Agent | Anti-Cancer/Tumor | Anti-lymphomic	Works against a usually malignant tumor of lymphoid tissue. An anticarcinogen (also known as a carcinopreventive agent) is a natural or laboratory-made substances to prevent or slow the development of cancer. Anticarcinoma agents (also known as anticancer or anti-neoplastic agents) are used to selectively destroy or inhibit cancer cells after cancer has developed.	Lymphoid tissue	Cancer/Tumors			REMEDY	Good		Anti-lymphomic
		25	Anti-cariogenic	F	F	Vitamin B5: Pantothenic Acid		Disease-Specific	Anti-cariogenic | Prevents tooth decay	tending to prevent tooth decay : Anti-caries					REMEDY	Good		Anti-cariogenic
			Anti-diarrheic	F	F	Vitamin B6: Pyroxidine		Disease-Specific	Anti-diarrheic | counteracts or remedies diarrhea	counteracts or remedies diarrhea					REMEDY	Good		Anti-diarrheic
			Anti-dysenteric	F	F	Vitamin B7: Biotin		Disease-Specific	Anti-dysenteric | Relieves or prevents dysentery	An agent used to reduce or treat dysentery and diarrhea.					REMEDY	Good		Anti-dysenteric
		45	Anti-lithic	F	F	Vitamin B9: Folate		Disease-Specific	Anti-Lithic | Counters kidney stones	An agent that reduces or suppresses urinary calculi (stones) and acts to dissolve those already present.					REMEDY	Good		Anti-lithic
		191	Anti-malarial	S	F	Vitamin C: Ascorbic acid (C6H8O6)		Disease-Specific	Anti-Malarial | Counters Malaria	An agent used to treat malaria and/or kill the malaria-causing organism, Plasmodium sp.	Plasmodium sp.				REMEDY	Good		Anti-malarial
			Anti-neuralgic	F	F	Vitamin E: Tocopherols		Disease-Specific	Anti-neuralgic | counteracts neuralgia	Any agent that counteracts neuralgia; an acute, severe, intermittent pain that radiates along a nerve.					REMEDY	Good		Anti-neuralgic
		56	Anti-pneumonic	F	F	Vitamin F:		Disease-Specific	Anti-pneumonic | Counters Pneumonia						REMEDY	Good		Anti-pneumonic
		60	Anti-rheumatalgic	F	F	Vitamin K1: Phylloquinone		Disease-Specific	Anti-Rheumatic | Counters rheumatism	Serving to prevent or counter rheumatism			See Anti-rheumatic vs Anti-rheumatalgic?		REMEDY	Good		Anti-rheumatalgic
		74	Anti-ulcer	F	F	Vitamin K2: (Menaquinone		Disease-Specific	Anti-ulcerogenic (Anti-ulcer) | Counters Ulcers	An agent used to protect against the formation of ulcers, or is used for the treatment of ulcers. Tending to prevent or treat ulcers and especially ulcers of the wall of the stomach or duodenum					REMEDY	Good		Anti-ulcer
		182	Verrucolytic	F	F	Vulnerary		Disease-Specific	Anti-viral | Verrucolytic | Counteracts warts	An agent that acts against verruca, a contagious and usually painful wart on the sole of the foot.	Plantar Warts | HPV 1, 2, 4, 63				REMEDY	Good		Verrucolytic
			Choleretic	F	F	was evaluated against Leishmania species. Nerolidol inhibited the growth of Leishmania amazonensis		Disease-Specific	Choleretic (Chologogue) | Promotes bile secretion	A substance that increases the production and flow of bile in the liver.					REMEDY	Good		Choleretic
		128	Hypocholesterolemic	F	F	Zinc		Disease-Specific	Cholesterol Modulator | Hypocholesterolemic/Anti-Hypercholesterolemia | Decreases cholesterol	Decreases cholesterol					REMEDY	Good		Hypocholesterolemic
		122	Hepatoprotective	F				Disease-Specific	Hepatoprotective (Anti-hepatotoxic) | Liver Detoxifier	Hepatoprotection or Anti-hepatotoxicity is the ability to prevent damage to the liver. This is opposite to the hepatotoxicity. Antihepatotoxic: a substance with protects the liver from toxins, or clears toxins from the liver.					REMEDY	Good		Hepatoprotective
Separate conames		70	Anti-tumor (Breast), Anti-tumor (Pancreas)	ME, S, S				Disease-Specific							REMEDY	Good		Anti-tumor (Breast), Anti-tumor (Pancreas)
								Endocrine	Diaphoretic (Sweat promoter, Sudorific) | Induces perspiration	A substance that induces perspiration. Also called sudorific.			ActivityClass?			Good		
								Endocrine	Lactagogue (Galactagogue) | Induces milk production	A agent that increases or stimulates milk flow or production and secretion.			ActivityClass?			Good		
		120	GST-Inducer	F				Enzyme Modulator	(GST) Glutathione S-transferase Inducer	(GST) Glutathione S-transferase Inducer | promotes detoxification: Human glutathione S-transferases (GSTs) are a functionally diverse family of soluble enzymes of detoxification that use reduced glutathione (GSH) in conjugation and reduction reactions. T					REMEDY	Good		GST-Inducer
			Aldose-Reductase Inhibitor	F				Enzyme Modulator	Aldose-Reductase Inhibitor	Aldose-Reductase Inhibitor: An agent that inhibits aldose reductase—an enzyme that converts glucose into a nerve toxin which results in nerve damage (i.e., diabetic neuropathy & macular degeneration)	Sorbito(polyol) pathway				REMEDY	Good		Aldose-Reductase Inhibitor
			ACE-inhibitor	F				Enzyme Modulator	Angiotensin-Converting Enzyme (ACE) inhibitor	Angiotensin-Converting Enzyme (ACE) inhibitor: A substance that inhibits angiotensin-converting enzyme (typically resulting in lowered blood pressure).  Used primarily for the treatment of hypertension (elevated blood pressure) and congestive heart failure.	ACE (Angiotensin-Converting Enzyme)		multi action types: Enzyme Modulator and Vascular Modulation		REMEDY	Good		ACE-inhibitor
		152	Cytochrome P450-2B1-Inhibitor	F				Enzyme Modulator	Cytochrome P450-2B1-Inhibitor	Cytochrome P450-2B1-Inhibitor: The CYP450 enzymes are essential for the production of numerous agents including cholesterol and steroids. Additionally, these enzymes are necessary for the detoxification of foreign chemicals and the metabolism of drugs. numerous medications, nutrients, and herbal therapies are metabolized through the cytochrome P450 (CYP450) enzyme system. This system can be inhibited or induced by drugs, and once altered can be clinically significant in the development of drug-drug interactions that may cause unanticipated adverse reactions or therapeutic failures	Cytochrome P450-2B1		Added Cytochrome - I think we need some sort of long form pathway name for this and put this stuff in brackets after?		REMEDY	Good		Cytochrome P450-2B1-Inhibitor
		153	Cytochrome P450-Inducer	F				Enzyme Modulator	Cytochrome P450-Inducer	Cytochrome P450-Inducer: The CYP450 enzymes are essential for the production of numerous agents including cholesterol and steroids. Additionally, these enzymes are necessary for the detoxification of foreign chemicals and the metabolism of drugs. numerous medications, nutrients, and herbal therapies are metabolized through the cytochrome P450 (CYP450) enzyme system. This system can be inhibited or induced by drugs, and once altered can be clinically significant in the development of drug-drug interactions that may cause unanticipated adverse reactions or therapeutic failures	Cytochrome P450		Added Cytochrome - I think we need some sort of long form pathway name for this and put this stuff in brackets after?		REMEDY	Good		Cytochrome P450-Inducer
			Ornithine-Decarboxylase Inhibitor	F				Enzyme Modulator	Ornithine-Decarboxylase Inhibitor	Ornithine-Decarboxylase Inhibitor: The enzyme Ornithine decarboxylase (ODC) catalyzes the conversion of ornithine to putrescine, the first and rate-limiting step in the synthesis of putrescine and of the polyamines spermidine and spermine (Bacchi et al., 1980). It catalyzes the decarboxylation of ornithine (a product of the urea cycle) to form putrescine. This reaction is the committed step in polyamine synthesis.[1] In humans, this protein has 461 amino acids and forms a homodimer.					REMEDY	Good		Ornithine-Decarboxylase Inhibitor
		206	Secretolytic	F				Enzyme Modulator	Secretolytic	Secretolytic: Breaks up secretions (especially phlegm)			ActionType?		FORMULA	Good		Secretolytic
		178	Tyrosinase-Inhibitor	F				Enzyme Modulator	Tyrosinase-inhibitor	Tyrosinase: : a copper-containing enzyme that promotes the oxidation of phenols (such as tyrosine) and is widespread in plants and animals 					REMEDY	Good		Tyrosinase-Inhibitor
		114	Flavor	F				Flavor Modulator	Flavor	Flavor		Flavor			FORMULA	Good		Flavor
		103	Deodorant	F				Fragrance	Deodorant	Deodorant		Deodorant			FORMULA	Good		Deodorant
		197	Fragrance	F				Fragrance	Fragrance	Fragrance		Fragrance			FORMULA	Good		Fragrance
		154	Perfumery	F				Fragrance	Fragrance	Perfumery		Perfumery			FORMULA	Good		Perfumery
		157	Pheromone	F				Fragrance	Pheromone	a chemical substance produced and released into the environment by an animal, especially a mammal or an insect, affecting the behavior or physiology of others of its species.			ActionType? Do plants release pheromones too??		FORMULA	Good		Pheromone
								Hair | Appearance/Texture/Volume	Hair Growth Inhibitor (Axillary)						RENEW	Good		
								Hair | Appearance/Texture/Volume	Hair Growth promotor						RENEW	Good		
								Hair | Appearance/Texture/Volume	Hair Regrowth Stimulant						RENEW	Good		
								Hair | Appearance/Texture/Volume	Hair Shaft Thickener						RENEW	Good		
		14	Anti-aggregant	F				Hemo/Cardiovascular Modulation	Anti-aggregant | Platelet aggregation inhibitor	An Anti-platelet drug (Anti-aggregant), also known as a platelet agglutination inhibitor or platelet aggregation inhibitor, is a member of a class of pharmaceuticals that decrease platelet aggregation and inhibit thrombus formation. They are effective in the arterial circulation, where Anti-coagulants have little effect.			Suggest we add a hyphen after Anti-! and pro- throughout		RESTORE	Good		Anti-aggregant
								Hemo/Cardiovascular Modulation	Anti-angiogenic	Capillary Pruning					RESTORE	Good		
								Hemo/Cardiovascular Modulation	Anti-coagulant	Anticoagulant (Blood thinner): A substance that thins the blood and acts to inhibit blood platelets from sticking together.						Good		
		65	Anti-shock	F				Hemo/Cardiovascular Modulation	Anti-shock	counteracting the effects of bodily shock specifically : used to treat hypovolemic shock (such as that resulting from hemorrhage) especially by improving blood flow and pressure in the upper body			Genic is another Modifier word we need to use on purpose. Perhaps we need to have a biochemist clean this up and create homogeneous descriptions		RESTORE	Good		Anti-shock
							Antihemorrhagic, Hemostatic, Styptic	Hemo/Cardiovascular Modulation	Antihemorrhagic	An agent which stops or prevents bleeding.					REMOVE	Good		
		84	Calcium-Antagonist	F				Hemo/Cardiovascular Modulation	Calcium Antagonist	Reduces the influx of calcium into the cells of cardiac and smooth muscle, reducing the strength of contractions.		angina and high blood pressure			RESTORE	Good		Calcium-Antagonist
								Hemo/Cardiovascular Modulation	Depurative	Folk use as a blood cleanser: An agent used to cleanse or purify the blood.			Sounds iffy at best. http://www.rain-tree.com/property-action.htm		REMEDY	Good		
								Hemo/Cardiovascular Modulation	Emmenagogue	Menstrual promoter: A substance that stimulates, initiates, and/or promotes menstrual flow. Emmenagogues are used in herbal medicine to balance and restore the normal function of the female reproductive system.			Check ActivityClass			Neutral		
							Neoangiogenic, neovascularization (Q1281049) ??	Hemo/Cardiovascular Modulation	Neovascularization (Neoangiogenic)	Neoangiogenic, neovascularization activity is the proliferation of blood vessels in abnormal tissues or in abnormal position					RESTORE	Good		
			Vasoconstrictor	F				Hemo/Cardiovascular Modulation	ACE Inhibitor (Vasodilator)	An agent that causes constriction of the blood vessels and decreases blood flow.					RESTORE	Good		Vasoconstrictor
			Vasorelaxant	F			Blood, hemo	Hemo/Cardiovascular Modulation	Vasorelaxant	Vasorelaxant | Passive Dilation					RESTORE	Good		Vasorelaxant
			Anti-thromboxane	F				Hemo/Cardiovascular Modulation | Anti-Vasoconstricion Agent	Anti-thromboxane	Anti-thromboxane: Inhibits Thromboxane, a vasoconstrictor and platelet aggregator	Thromboxane A2 | Causes vasoconstriction, platelet aggregation, and bronchoconstriction				REMEDY	Good		Anti-thromboxane
