PMC_id	activity	plant	plantparts	process	location	
	Materials and Methods >> Determination of Antimicrobial Activities >> Determination of Minimum Inhibitory Concentration:  antifungal activities					
						
						
PMC5872285						
						
						
PMC5872290	Materials and Methods >> Effects of Dose and Time Period on Larvicidal Activity: 	Materials and Methods >> Plant material : cinnamon cortex ( Cinnamomum verum), cumin leaves ( Cuminum cyminum), clove bottoms ( Syzygium aromaticum), laurel leaves ( Laurus nobilis), Mexican oregano leaves ( Lippia berlandieri) and anise seeds ( Pimpinella anisum)		Materials and Methods >> Essential Oils Extraction and Characterization: hydrodistillation, dried and chopped		
	Results >> Larvicidal and Pupaecidal Activities of Essential Oils and Their Constituents: 					
						
						
PMC5874608	Biological Activities >> Allelopathic Activity: 	Essential Oils and Non-Volatile Components >> Essential Oils:  Conradina spp	Essential Oils and Non-Volatile Components >> Essential Oils: aerial parts			
	Biological Activities >> Antibacterial and Antifungal Activity: antibacterial activity, antifungal activity					
						
PMC5876267	Materials and methods>> Anthelmintic activity against Anisakis simplex L3 larvae : antiparasitic	Materials and methods >> Origanum compactum essential oil : O. compactum	Materials and methods >> flowering aerial parts 	Materials and methods >> Origanum compactum essential oil : Madrid, Spain		
	Results >>Anthelmintic activity: larvicidal	Results >> Essential oil composition: O. compactum				
						
						
PMC5876298	Methods for microbiological analysis >> Cultivation-dependent methods: microbiological					
						
PMC5877547		Chemical Composition of Olive Oil >> olive oil 	Chemical Composition of Olive Oil: fruits	Chemical Composition of Olive Oil: fruit pulp 		
	Beneficial Effects of Olive Oil and Olive Leaf Extract >> Beneficial Properties of Oleuropein: prevent arterial hypertension or as diuretics and antiseptics, chemopreventive activity, antioxidant 	Beneficial Effects of Olive Oil and Olive Leaf Extract		Beneficial Effects of Olive Oil and Olive Leaf Extract: leaf extracts	Beneficial Effects of Olive Oil and Olive Leaf Extract	
						
						
	Beneficial Effects of Olive Oil and Olive Leaf Extract: lchemopreventive activity, Anticancer properties,  antimicrobial and antiviral, Antioxidant and anti-atherogenic 					
	Beneficial Effects of Olive Oil and Olive Leaf Extract>> Health Benefits of Hydroxytyrosol: scavenge free radicals and reactive oxygen/nitrogen species as well as to activate endogenous antioxidant systems in the body					
	Beneficial Effects of Olive Oil and Olive Leaf Extract >> Beneficial Properties of Oleuropein: anti-angiogenic					
	Antineoplastic Properties of Olive Oil Polyphenols and the Mechanism of Action:  lower risk of developing cancer. Carcinogenesis 					
	Anticancer Activity of Hydroxytyrosol>> regulates the proliferation, apoptosis, angiogenesis, and invasion of cancer cells 					
	Anticancer Activity of Hydroxytyrosol>> Oleuropein as Anticancer Agent: anticancer activity 					
						
						
PMC5878871	Materials and Methods >> Evaluation of Topical Anti-Inflammatory Effect: inflammatory stimulus	Materials and Methods >> Plant Material and Extraction of Essential Oil:  Lavandula angustifolia	Materials and Methods >> Plant Material and Extraction of Essential Oil: eaves and stem	Materials and Methods >> Plant Material and Extraction of Essential Oil: steam distillation 	Materials and Methods >> Plant Material and Extraction of Essential Oil: Brazil	
	Materials and Methods >> Evaluation of Systemic Anti-Inflammatory Effect: 					
	Materials and Methods >> Determination of Myeloperoxidase (MPO) Activity					
	Results >>  Analysis of LEO: 					
	Results >> In Vitro Chemotactic Effect of LEO:did not increase leukocytes chemotaxis					
	Results >> Effects of LEO on the Topical Inflammation Induced by Croton Oil					
						
						
PMC5879832						
						
PMC5884000	Chemical composition of N. sativa seed fixed oil	Chemical composition of N. sativa seed fixed oil: N. sativa 	Chemical composition of N. sativa seed fixed oil: seeds			
	The potential efficacy of N. sativa fixed oil in treatment of sinusitis>> The anti-histaminic, anti-oxidant and anti-inflammatory effects of N. sativa seed fixed oil: anti-inflammatory, anti-histaminic and antioxidant effects, anti-histaminic, anti-inflammatory and immunoboosting effects					
	The potential efficacy of N. sativa fixed oil in treatment of sinusitis >> Immunomodulatory effects of N. sativa seed fixed oil: immunomodulatory effects 					
	The potential efficacy of N. sativa fixed oil in treatment of sinusitis >> Antimicrobial effects of N. sativa fixed oil: antimicrobial activity, antiviral					
	The potential efficacy of N. sativa fixed oil in treatment of sinusitis >> Analgesic effects of N. sativa fixed oil:  analgesic effects					
						
						
PMC5884125	Results >> Sample Collection and Preparation	Results >> Sample Collection and Preparation	Results >> Sample Collection and Preparation	Results >> Sample Collection and Preparation	Materials and Methods >>  Sample Collection and Preparation: Southern Oman 	
						
						
PMC5885327				Materials and Methods >> Materials: hydrodistillation	Materials and Methods >> Materials: Kashan, Iran	
	Results >>  anti-trichomonal, anti-protozoal 	Results >>   In vitro   results : P. roseum				
						
						
PMC5886561		Materials and methods >> General experimental design: Pinus sylvestris 	Materials and methods >> General experimental design: Plant Centre in Leicester, UK			
		Materials and methods >> Resin type experiments: Wollemia nobilis and Pinus sylvestris				
		Results >> Resin type: W. nobilis				
						
						
PMC5896384		Materials and Methods >> Materials : linseed and sesame oils	Materials and Methods >> Materials: seeds	Materials and Methods  >> Materials : cold press 	Materials and Methods >> Materials : Tabriz, Iran.	
						
						
PMC5896386	Results and Discussion >> Antioxidant activity: antioxidant 	Material and Methods >> Plant material:Tagetes minuta L		Material and Methods >> Essential oil isolation:  Air-dried, aerial parts, flowering,  hydrodistillation	Material and Methods >> Plant material : Province of Guilan (Noth of Iran)	
				Results and Discussion >> Chemical composition of the essential oil: hydrodistillation	Results and Discussion >> Chemical composition of the essential oil: Northern Iran	
